Timestamp,Age,Gender,Trans,Race,Sexuality,Have you ever used drugs and/or alcoholic substances?,"Have you ever experienced dating violence, whether it be physical, verbal, and/or emotional?",Have you watched the show Euphoria?,How much of the show did you watch? ,I enjoyed watching the show. ,I believe the TV show depicted teenage life accurately. ,The show made substances look fun. ,The show made substances look desirable. ,The cinematography of the show influenced how I perceived drugs.,The show's narrative made me change how I experience and/or perceive substance abuse.,"After watching the show, I felt more inclined to experiment with the usage of substances. ",I believe the show depicted substance abuse accurately. ,The show was educational in regards to substance abuse and helped me understand the topic better. ,I believe the show would make others more likely to reach out for help if they are struggling with substance use.  ,The show portrayed substance abuse treatments in a positive light. ,The show positively affected how I viewed romantic relationships.,I have more positive views of sex after watching the show. ,"Overall, I believe that Nate and Maddy's relationship showcases signs of an unhealthy relationship.",I think Nate and Maddy’s relationship is desirable despite its pitfalls. ,The attractiveness of the actors who play Nate and Maddy influenced how I saw their relationship. ,I believe Euphoria is informative of the signs of teen dating violence.,I believe Euphoria depicts teen dating violence accurately. ,I believe that the show would make others more likely to reach out for help if they are struggling with teen dating violence. ,"Do you have any thoughts on what could’ve been done differently surrounding substance use and dating violence? Alternatively, if you felt these topics were tackled well, how and why?",Do you think Euphoria romanticizes/glamorizes substance abuse and dating violence? Why or why not?,It is acceptable to use substances. ,I have thought about using substances. ,Using substances is fun or desirable. ,I am aware of resources available to those struggling with addiction. ,I am knowledgeable about the danger of lacing drugs. ,I am knowledgeable about drug harm reduction methods such as narcan and test strips. ,I believe substance abuse is common among teens.,I am knowledgeable about consent in romantic relationships. ,I am aware of resources available to those facing teen dating violence. ,I am knowledgeable about healthy attachment in relationships., I am more inclined to overlook dating violence if the other party’s physical appearance is attractive. , I am aware of the signs of an abusive relationship. ,Dating violence is only physical.,Do you have any additional thoughts about the questions that were previously asked? Remember that all answers are anonymous.
7/25/2022 8:08:00,17,Female,No,north african ,Heterosexual/Straight,No,No,Yes,All of Season 1 and 2,4,3,4,3,5,3,1,3,4,4,1,1,3,5,3,5,5,4,3,n/a,"yes i believe they do because they made it seem like the only way you can have fun and be truly care free is through drugs and with the dating violence they made nate and maddy come back together multiple times even after nate was violent to maddy making it seem like something as big as that wouldn’t affect the relationship. but i will say that even though the show makes you want to be like rue or nate and maddy, they also portray how bad rue had it with her drug problem and she became very careless of her own life which is not a desirable thing. ",3,1,2,5,5,5,4,5,5,4,2,4,1,n/a
7/25/2022 10:31:33,17,Female,No,Pacific Islander,Pansexual,Yes,Yes,Yes,All of Season 1 and 2,4,2,1,1,5,4,1,3,4,4,3,2,3,5,1,2,4,5,4,"The show partially romanticized substance abuse with their use of trendy styling and music choices, making drugs look almost glamorous. ","Yes. Just as it was mentioned earlier in the form, the use of attractive actors forces young viewers to perceive abusive relationships as (using this word again) glamorous. ",2,5,3,5,5,5,5,5,4,4,5,5,1,
7/25/2022 11:12:48,17,Female,No,Asian and/or Asian American,Bisexual,Yes,No,Yes,All of Season 1 and 2,5,2,2,4,3,4,1,5,5,3,2,1,2,5,1,3,4,4,3,I think it portrayed substance abuse through Rue very well and how it affected the people around her. I also think Maddy and Nate’s relationship was a bit dramatized but it effectively shows people how toxic and abusive some relationships can be despite being teenagers,No because I think it shows that the person who is abusing substances may feel good for a while but it also shows how the people around them are affected and how the drugs affect them after,3,4,4,5,5,2,5,5,5,5,1,5,1,
7/25/2022 11:13:17,15,Female,No,Asian and/or Asian American,Pansexual,No,No,No,,,,,,,,,,,,,,,,,,,,,,,3,5,1,3,5,2,3,5,2,3,2,4,1,
7/25/2022 11:22:06,16,Female,No,Asian and/or Asian American,Heterosexual/Straight,No,No,No,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,5,1,3,5,1,5,1,4,1,
7/25/2022 11:30:37,15,Male,No,Asian and/or Asian American,Heterosexual/Straight,No,No,No,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,5,5,3,5,2,4,1,5,1,not really
7/25/2022 11:51:46,15,Female,No,Asian and/or Asian American,Heterosexual/Straight,No,No,Yes,All of Season 1 and 2,5,4,5,4,4,4,4,3,4,2,2,2,3,5,1,2,4,4,4,,,4,5,5,2,4,1,4,5,1,4,2,2,2,
7/25/2022 11:54:46,15,Male,No,White/Caucasian,Heterosexual/Straight,No,No,No,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,5,4,5,5,4,5,3,5,1,no
7/25/2022 11:55:08,16,Prefer not to say,No,Asian and/or Asian American,Bisexual,No,No,Yes,Most of Season 1 and 2 (all of Season 1 and started Season 2),2,1,3,4,2,2,1,2,3,2,2,1,1,5,1,3,3,2,2,"I think the excessive sex scenes, other plotlines of characters etc downplayed both those issues. Its main marketing point was from what made me watch the show, good actors and a story about teenagers. You cant make a show with real issues and downplay or throw them aside so much by trying to do so much. I dont think either of the issues were portrayed appropriately. ","Yes, it can influence others to do so aswell but i have hard boundaries to both those subjects so really i was just disappointed but not surprised. ",1,3,2,5,4,4,4,5,2,4,1,4,1,"Not really but if youre calling out euphoria as a problematic show, go you!!! I strongly agree"
7/25/2022 12:05:58,16,Female,No,White/Caucasian,Bisexual,Yes,Yes,Yes,Only a couple of episodes (1-4 episodes),3,4,1,1,1,1,1,5,2,1,1,1,1,5,1,1,5,4,1,,,4,5,5,5,5,5,5,5,2,5,1,5,1,
7/25/2022 12:12:10,15,Male,No,Brown ig,Heterosexual/Straight,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,3,5,5,2,5,2,4,5,2,3,3,4,4,I want pizza
7/25/2022 12:35:27,18,Female,No,Asian and/or Asian American,Heterosexual/Straight,Yes,Yes,Yes,All of Season 1 and 2,5,5,2,2,3,3,1,5,5,5,4,4,3,5,1,1,5,5,5,,,3,4,2,3,4,4,5,5,4,5,1,5,1,
7/25/2022 12:44:35,16,Female,No,Asian and/or Asian American,Bisexual,No,No,Yes,Most of Season 1 and 2 (all of Season 1 and started Season 2),4,3,4,2,2,4,2,3,5,4,5,2,4,5,4,2,4,3,2,"they were tackled well in the form of character Ali, who was a super influential character in my opinion. his talks with character Rue were touching and seemed to capture an understanding for the issues. however, seeing substance usage and dating violence so normalised throughout the show was definitely triggering,, because as teens, we DO copy what we see on screen. and if you dont have the right friend group or family support, you can Definitely fall into these spirals. ","it does glamorise substance abuse because the actress Zendaya playing the character Rue made everyone like her automatically despite the characters setbacks
one scene that stuck with me is the carnival scene where Maddy and Cassie have strong drugs,, that scene seemed really cool at that moment. so yes, definitely glamorised.
however, dating violence? no, i don't think thats romanticised but maybe because i'm actually properly educated about the topic. it could seem desirable for some unsuspecting viewers.",2,4,2,5,4,1,4,5,4,4,3,4,1,nope!
7/25/2022 13:39:47,15,Female,No,Asian and/or Asian American,Heterosexual/Straight,No,No,No,,,,,,,,,,,,,,,,,,,,,,,2,4,3,4,5,2,3,4,1,4,1,4,2,
7/25/2022 13:50:48,16,Female,No,White/Caucasian,aromantic aesexual ,No,No,Yes,All of Season 1 and 2,4,2,1,1,1,1,1,3,3,4,4,1,1,5,1,1,2,2,4,"I feel like there should’ve been more writers on the team to aid with anything the creator did not understand. There’s a reason Rue is the best written character and it’s because it comes from experience. First season was done well, the second is an insult to anyone with comprehension skills. In any regard. ","The entire purpose of the show and what happens to the characters after using substances is to shy why they are re bad. Think about it: anytime someone drinks, something bad happens immediately after (Cassie and Nate, Cassie at that party, etc.). When Rue uses, all her relationships are damaged badly. The only issue with season 2 is that Nate becomes a gray area instead of his original entirely bad, but I would argue he is still considered bad given the fact he breaks into Maddy’s house to threaten her and all. TL;DR - not even slightly. ",2,1,1,4,5,2,4,5,4,4,1,5,1,I feel like no one is going to be answering honestly. That’s all. Have a nice day :D!!! 
7/25/2022 14:01:58,15,Female,No,White/Caucasian,Questioning,No,No,No,,,,,,,,,,,,,,,,,,,,,,,1,2,1,4,5,4,5,5,4,5,1,5,1,
7/25/2022 14:11:10,17,Female,No,"Latine (Indigenous, European, and African)",Panromantic & Demisexual,No,No,No,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,1,3,5,2,4,1,4,1,
7/25/2022 15:29:12,15,Female,No,Middle Eastern,Heterosexual/Straight,No,No,No,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,5,1,3,5,2,4,1,5,1,
7/25/2022 16:12:56,15,Female,No,White/Caucasian,Bisexual,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,4,3,3,5,4,1,3,5,3,4,1,2,1,
7/25/2022 18:50:56,15,Female,No,Asian and/or Asian American,Prefer not to say,No,No,No,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,5,2,5,5,4,5,1,5,1,
7/25/2022 19:39:06,17,Female,No,Black and/or African American,Heterosexual/Straight,Yes,No,Yes,All of Season 1 and 2,4,3,2,2,4,2,1,5,4,3,3,3,3,5,1,3,5,5,4,"I feel as though the show has done a pretty good job portraying substance use and the effects it has on your life. I don’t think they criminalized drugs like weed but I think the way they depicted Rue being hurt and scared of drugs like Fentanyl was very good. It shows that these hardcore drugs have a negative effect on your life. I think the dating violence did a great job of showing physical and emotional abuse, as well as how hard it was to get out of those situations. If anything, I think the show couldve gave teens like Cassie and Maddy someone to go to, in order to show teens struggling with abuse that there is someone there to talk to. ","No. I think there are scenes that depict how drugs feel, maybe euphoric, but it always show the consequences of using these drugs. For example, Rue is always struggling with mental health because of these drugs, and Cassie was on molly and ended up doing very embarrassing things in public. Some people might find that the show romanticizes these topics but I think that it just shows both perspectives. The good and the bad. The feeling during and after. ",2,4,3,5,5,4,5,5,2,5,1,5,1,Schools always make substance abuse help known but I haven’t heard of any relationship abuse helplines. 
7/25/2022 20:14:59,18,Female,No,White and Asian ,Pansexual,Yes,No,Yes,All of Season 1 and 2,5,2,2,1,5,3,1,4,3,2,3,2,2,5,1,1,3,2,1,When rue was freaking out because of her withdrawals I thought that was pretty accurate and it also showed how it affected the Family. Especially the younger sister.,"No, I think it just shows how the characters in the Show glamorize substance abuse and dating violence. ",1,4,1,2,5,4,5,5,1,5,1,3,1,
7/25/2022 20:16:47,18,Female,No,Biracial and/or Multiracial,Heterosexual/Straight,No,No,Yes,Only a couple of episodes (1-4 episodes),4,2,1,1,3,3,1,4,5,3,3,1,1,5,1,4,3,4,4,"I think for the most part, these subjects were handled well. I do think some of the drug scenes were overly aesthetic. While I appreciate the amazing aesthetic of the show, it may have been better to dial down the aesthetics during scenes where the characters were on drugs. I think if the show was marketed towards an older audience, it would have been fine. However, considering that it is for teens, the show needs to be extra careful. ","Overall, I don’t think it glamorizes substance abuse or dating violence. The scenes of Rue and her family are really sad and tough to watch. They definitely don’t make me want to take drugs. As for dating violence, I only watched a little of the show so, I don’t think I saw all of those parts. However, the little I saw did not make dating violence look appealing. It was sad and scary. ",1,2,1,1,4,3,5,5,1,5,1,5,1,I think it’s a great survey with lots of important topics. I’m glad that Euphoria addresses such taboo subjects and brings them out into the open. 
7/25/2022 21:39:43,18,Male,No,Black and/or African American,Heterosexual/Straight,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,2,4,3,1,4,5,5,5,5,3,3,4,1,
7/25/2022 21:48:30,18,Female,No,Asian and/or Asian American,Heterosexual/Straight,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,5,1,4,5,2,4,1,5,1,"I think that it’s important to address how there can be toxic and abusive relationships outside of romantic relationships as well (family, friends, workplace, etc.)."
7/25/2022 22:09:30,18,Female,No,Biracial and/or Multiracial,Heterosexual/Straight,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,4,4,4,4,4,4,3,3,1,
7/25/2022 22:22:06,18,Female,No,Asian and/or Asian American,Bisexual,Yes,No,Yes,All of Season 1 and 2,4,2,3,2,4,3,2,4,3,3,2,3,2,5,2,2,3,4,2,"I think showing a larger variety of dating violence could’ve been shown. In terms of substance abuse, I think it did well showing Rue and her family. But certain scenes did make me want to try more substances, as I did feel that some scenes romanticized substance abuse. I hope that they can lessen the romanticization.  ","Yes, as I explained earlier ",4,5,3,5,5,4,5,5,5,5,5,5,5,
7/26/2022 2:34:01,18,Female,No,Asian and/or Asian American,Heterosexual/Straight,No,No,Yes,All of Season 1 Only,4,4,2,1,3,4,1,5,4,4,3,2,4,4,2,3,4,4,3,,,1,1,1,2,5,5,5,5,2,4,2,4,1,
7/26/2022 10:32:44,15,Female,No,Asian and/or Asian American,Bisexual,Yes,No,Yes,All of Season 1 and 2,4,2,2,1,5,5,1,4,5,3,3,2,2,5,1,1,4,3,3,ithink both were tackled well and really made the watcher feel what the character was going through. everything got so .. real. like it wasnt something to take lightly.,idont think it does because the pain the characters go through really came through and i didnt even in the slightest feel like the substance abuse and dating violence was desirable or anything other than horrifying.,4,5,4,1,5,1,4,5,2,3,2,4,1,
7/26/2022 13:37:48,18,Male,No,Biracial and/or Multiracial,Heterosexual/Straight,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,1,3,3,
7/26/2022 17:05:54,18,Male,No,Asian and/or Asian American,Heterosexual/Straight,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,3,2,3,5,3,5,3,3,2,
7/26/2022 17:06:12,18,Male,No,Asian and/or Asian American,Heterosexual/Straight,No,No,No,,,,,,,,,,,,,,,,,,,,,,,3,2,3,4,4,4,4,4,5,5,3,4,2,
7/26/2022 19:58:32,17,Gender fluid,Not sure,White/Caucasian,Pansexual,No,Yes,Yes,Most of Season 1 and 2 (all of Season 1 and started Season 2),1,2,1,1,2,2,1,2,2,1,1,1,1,4,1,1,2,1,2,,,1,1,1,5,5,5,4,5,2,5,3,4,1,
7/26/2022 21:10:49,15,Female,No,Asian and/or Asian American,Heterosexual/Straight,No,No,No,,,,,,,,,,,,,,,,,,,,,,,3,2,1,5,5,5,4,5,2,5,1,5,1,"Not really! I knew about most of this stuff but when asked about knowing of help for teenage relationship abuse I realized that I barely knew of any resources for that. I also kind of realized that I know most of this stuff due to personal experiences and those talks that they give you in school about drinking and drugs as well as watching regular tv dramas (they help me understand more about relationships and where they sometimes meet their downfall, etc.)"
7/27/2022 10:49:25,17,Female,No,White/Caucasian,Heterosexual/Straight,No,No,Yes,All of Season 1 and 2,3,3,2,2,3,4,2,2,2,2,3,2,1,5,1,2,2,3,3,Euphoria should’ve included more information on how to help and depicted treatment and resources in a more positive light. Maybe Rue could’ve reached out to her sponsor more or started therapy; Maddy could’ve come forward later and Nate could’ve faced consequences. I think the show focuses a little too much on the influences of other teens (ex Rue wanting to get sober only for Jules) and not enough on resources and seeking help which it should be encouraging people struggling with these issues to do.,"Neutral - does somewhat glamorize it but also displays its consequences ie. “Very narrow window of cool,” depicts ruined relationships with family and friends, withdrawal, health issues. Making Rue a sympathetic character I think helps create compassion for real people struggling with substance abuse, I just again wish they’d emphasized real resources more. Rehab is kind of looked at as a joke, NA meetings as easily scammed; maybe including more positive views of these could help. The show does also demonstrate how scary dating violence can be and how it changed and negatively impacted Maddy but I don’t think it was handled particularly well, and I don’t think it’s good that after everything Nate did he’s now with someone new who knew what was going on.",1,2,2,2,5,3,3,4,2,2,1,2,1,
7/27/2022 13:56:22,17,Female,No,Asian and/or Asian American,Heterosexual/Straight,No,No,No,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,1,3,3,3,2,1,3,2,
7/27/2022 15:40:37,17,Female,No,Biracial and/or Multiracial,Heterosexual/Straight,No,No,No,,,,,,,,,,,,,,,,,,,,,,,2,4,2,4,5,2,4,5,2,2,2,4,1,
7/27/2022 19:26:48,18,Female,No,Asian and/or Asian American,Bisexual,No,No,Yes,All of Season 1 and 2,4,2,2,2,4,4,1,3,4,4,2,2,2,5,1,4,5,4,4,,,3,2,2,3,4,3,4,4,4,4,1,4,1,
7/28/2022 8:35:45,16,Female,No,Asian and/or Asian American,Heterosexual/Straight,No,No,No,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5,5,2,4,5,2,5,4,5,2,
7/29/2022 21:01:29,13,Female,No,Asian and/or Asian American,Heterosexual/Straight,No,No,No,,,,,,,,,,,,,,,,,,,,,,,3,1,1,2,4,3,4,4,1,4,2,4,1,
7/31/2022 15:34:04,16,Female,No,Arab ,Heterosexual/Straight,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,1,2,2,4,4,2,4,5,3,4,1,4,1,
7/31/2022 15:37:44,16,Female,No,White/Caucasian,Bisexual,Yes,Yes,Yes,All of Season 1 and 2,3,4,2,1,2,2,1,4,3,4,2,2,2,4,2,2,4,3,2,,,4,4,4,4,4,4,4,4,4,4,3,4,2,
7/31/2022 21:04:59,16,Female,No,Asian and/or Asian American,Heterosexual/Straight,No,No,No,,,,,,,,,,,,,,,,,,,,,,,2,1,1,3,4,1,3,5,4,3,4,3,1,
8/1/2022 2:37:16,14,Female,No,Black and/or African American,Heterosexual/Straight,No,No,No,,,,,,,,,,,,,,,,,,,,,,,2,1,1,5,5,5,1,5,3,3,1,3,1,
8/1/2022 12:51:12,16,Female,No,Asian and/or Asian American,Heterosexual/Straight,No,No,No,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,1,4,4,2,3,1,2,2,
8/1/2022 18:35:03,17,Female,No,White/Caucasian,Heterosexual/Straight,Yes,No,Yes,All of Season 1 and 2,4,1,5,5,4,3,4,2,3,2,2,3,3,5,3,4,2,2,2,,,5,5,5,5,5,5,4,5,2,5,2,4,2,
8/2/2022 14:39:22,18,Female,No,Asian and/or Asian American,Heterosexual/Straight,Yes,No,Yes,All of Season 1 Only,3,3,1,1,4,4,4,4,5,3,4,2,4,4,2,1,4,4,2,I think they did a decent job on portraying the reality of what it’s like to be addicted to drugs and how to recover from drug addiction as well as dating violence. ,"I feel like it is because it kinda shows that drugs are used as a coping mechanism and that it supposed to make you feel better, which rly isn’t, it’s just doing more harm than good. ",2,2,1,4,5,4,3,5,3,4,3,4,1,
